Date,District,Market,Fruit,Variety,Grade,Min Price,Max Price,Avg Price
6/7/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/7/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/7/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/8/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/8/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,70,90,80
6/8/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/9/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/9/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,70,90,80
6/9/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/10/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/10/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,80,90,85
6/10/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/11/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/11/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,80,90,85
6/11/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/12/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/12/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,80,90,85
6/12/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/13/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/13/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,80,90,85
6/13/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/14/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/14/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,80,90,85
6/14/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/15/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,100,120,110
6/15/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,80,90,85
6/15/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/16/2017,Azadpur,Azadpur,Cherry,Makhmali,Super,90,120,105
6/16/2017,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/16/2017,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
